S_d, S_n, Mean, Max, Mask Mean, Mask Max
0.83, 0.83, 0.213, 0.987, 0.217, 0.956
0.83, 1.67, 0.252, 0.978, 0.235, 0.975
0.83, 2.50, 0.249, 0.970, 0.238, 0.923
0.83, 3.33, 0.236, 0.955, 0.235, 0.928
0.83, 4.17, 0.223, 0.922, 0.228, 0.915
0.83, 5.00, 0.210, 0.906, 0.218, 0.906
0.83, 5.83, 0.200, 0.859, 0.208, 0.859
0.83, 6.67, 0.190, 0.800, 0.199, 0.800
0.83, 7.50, 0.182, 0.791, 0.191, 0.791
0.83, 8.33, 0.176, 0.747, 0.184, 0.747
1.67, 0.83, 0.151, 0.978, 0.140, 0.954
1.67, 1.67, 0.225, 0.969, 0.203, 0.944
1.67, 2.50, 0.238, 0.978, 0.229, 0.920
1.67, 3.33, 0.228, 0.986, 0.241, 0.958
1.67, 4.17, 0.218, 0.960, 0.246, 0.949
1.67, 5.00, 0.211, 0.953, 0.248, 0.947
1.67, 5.83, 0.206, 0.935, 0.246, 0.921
1.67, 6.67, 0.202, 0.920, 0.243, 0.908
1.67, 7.50, 0.198, 0.898, 0.238, 0.893
1.67, 8.33, 0.195, 0.875, 0.233, 0.875
2.50, 0.83, 0.105, 0.976, 0.084, 0.969
2.50, 1.67, 0.188, 0.987, 0.157, 0.961
2.50, 2.50, 0.220, 0.985, 0.205, 0.965
2.50, 3.33, 0.230, 0.976, 0.242, 0.944
2.50, 4.17, 0.234, 0.985, 0.271, 0.965
2.50, 5.00, 0.239, 0.959, 0.293, 0.951
2.50, 5.83, 0.245, 0.938, 0.309, 0.920
2.50, 6.67, 0.252, 0.898, 0.319, 0.884
2.50, 7.50, 0.258, 0.898, 0.325, 0.842
2.50, 8.33, 0.263, 0.883, 0.327, 0.825
3.33, 0.83, 0.072, 0.973, 0.058, 0.968
3.33, 1.67, 0.150, 0.990, 0.129, 0.981
3.33, 2.50, 0.194, 0.983, 0.187, 0.977
3.33, 3.33, 0.219, 0.992, 0.235, 0.973
3.33, 4.17, 0.238, 0.985, 0.276, 0.962
3.33, 5.00, 0.256, 0.964, 0.310, 0.956
3.33, 5.83, 0.275, 0.954, 0.336, 0.945
3.33, 6.67, 0.293, 0.937, 0.356, 0.937
3.33, 7.50, 0.309, 0.945, 0.370, 0.919
3.33, 8.33, 0.323, 0.934, 0.380, 0.903
4.17, 0.83, 0.050, 0.989, 0.044, 0.979
4.17, 1.67, 0.118, 0.985, 0.111, 0.980
4.17, 2.50, 0.167, 0.987, 0.171, 0.987
4.17, 3.33, 0.202, 0.984, 0.223, 0.984
4.17, 4.17, 0.230, 0.985, 0.269, 0.985
4.17, 5.00, 0.256, 0.973, 0.306, 0.973
4.17, 5.83, 0.281, 0.969, 0.337, 0.969
4.17, 6.67, 0.305, 0.957, 0.362, 0.957
4.17, 7.50, 0.327, 0.954, 0.381, 0.954
4.17, 8.33, 0.347, 0.947, 0.395, 0.947
5.00, 0.83, 0.036, 0.987, 0.037, 0.964
5.00, 1.67, 0.094, 0.989, 0.097, 0.989
5.00, 2.50, 0.144, 0.989, 0.157, 0.989
5.00, 3.33, 0.183, 0.988, 0.211, 0.988
5.00, 4.17, 0.215, 0.988, 0.257, 0.988
5.00, 5.00, 0.245, 0.984, 0.296, 0.984
5.00, 5.83, 0.273, 0.979, 0.329, 0.979
5.00, 6.67, 0.300, 0.981, 0.356, 0.981
5.00, 7.50, 0.325, 0.974, 0.378, 0.974
5.00, 8.33, 0.347, 0.968, 0.395, 0.968
5.83, 0.83, 0.028, 0.990, 0.032, 0.984
5.83, 1.67, 0.078, 0.985, 0.087, 0.985
5.83, 2.50, 0.125, 0.993, 0.145, 0.993
5.83, 3.33, 0.165, 0.986, 0.197, 0.986
5.83, 4.17, 0.199, 0.989, 0.243, 0.989
5.83, 5.00, 0.230, 0.981, 0.283, 0.981
5.83, 5.83, 0.259, 0.983, 0.316, 0.983
5.83, 6.67, 0.286, 0.975, 0.344, 0.975
5.83, 7.50, 0.312, 0.977, 0.367, 0.977
5.83, 8.33, 0.337, 0.979, 0.387, 0.979
6.67, 0.83, 0.023, 0.975, 0.027, 0.973
6.67, 1.67, 0.066, 0.989, 0.078, 0.989
6.67, 2.50, 0.110, 0.992, 0.133, 0.992
6.67, 3.33, 0.148, 0.985, 0.183, 0.985
