S_d, S_n, Mean, Max, Mask Mean, Mask Max, Inv Mask Mean, Inv Mask Max, AUC
0.42, 0.42, 0.880, 1.000, 0.874, 1.000, 0.881, 1.000, 0.472
0.42, 0.83, 0.612, 0.997, 0.582, 0.992, 0.620, 0.997, 0.429
0.42, 1.25, 0.488, 0.992, 0.462, 0.978, 0.495, 0.992, 0.436
0.42, 1.67, 0.412, 0.984, 0.400, 0.968, 0.415, 0.984, 0.469
0.42, 2.08, 0.365, 0.975, 0.365, 0.952, 0.365, 0.975, 0.501
0.42, 2.50, 0.337, 0.963, 0.343, 0.939, 0.335, 0.963, 0.522
0.42, 2.92, 0.317, 0.950, 0.327, 0.929, 0.314, 0.950, 0.535
0.42, 3.33, 0.302, 0.935, 0.315, 0.917, 0.298, 0.935, 0.545
0.42, 3.75, 0.289, 0.917, 0.305, 0.905, 0.285, 0.917, 0.553
0.42, 4.17, 0.278, 0.898, 0.295, 0.891, 0.273, 0.898, 0.560
0.42, 4.58, 0.268, 0.877, 0.286, 0.876, 0.263, 0.877, 0.566
0.42, 5.00, 0.259, 0.860, 0.278, 0.860, 0.253, 0.855, 0.572
0.42, 5.42, 0.250, 0.843, 0.270, 0.843, 0.245, 0.831, 0.576
0.42, 5.83, 0.242, 0.827, 0.263, 0.827, 0.237, 0.807, 0.580
0.42, 6.25, 0.235, 0.811, 0.256, 0.811, 0.229, 0.782, 0.584
0.42, 6.67, 0.228, 0.795, 0.249, 0.795, 0.223, 0.756, 0.586
0.42, 7.08, 0.222, 0.780, 0.243, 0.780, 0.217, 0.745, 0.589
0.42, 7.50, 0.216, 0.766, 0.238, 0.766, 0.211, 0.735, 0.590
0.42, 7.92, 0.211, 0.752, 0.232, 0.752, 0.206, 0.726, 0.592
0.42, 8.33, 0.207, 0.740, 0.227, 0.740, 0.201, 0.718, 0.592
0.83, 0.42, 0.910, 1.000, 0.907, 1.000, 0.911, 1.000, 0.483
0.83, 0.83, 0.699, 0.998, 0.683, 0.994, 0.703, 0.998, 0.460
0.83, 1.25, 0.567, 0.994, 0.559, 0.986, 0.569, 0.994, 0.478
0.83, 1.67, 0.472, 0.987, 0.481, 0.974, 0.470, 0.987, 0.519
0.83, 2.08, 0.409, 0.979, 0.430, 0.963, 0.403, 0.979, 0.555
0.83, 2.50, 0.368, 0.970, 0.395, 0.949, 0.361, 0.970, 0.578
0.83, 2.92, 0.340, 0.960, 0.370, 0.938, 0.332, 0.960, 0.591
0.83, 3.33, 0.320, 0.946, 0.351, 0.926, 0.312, 0.946, 0.600
0.83, 3.75, 0.303, 0.930, 0.335, 0.913, 0.295, 0.930, 0.607
0.83, 4.17, 0.289, 0.911, 0.321, 0.899, 0.281, 0.911, 0.612
0.83, 4.58, 0.278, 0.890, 0.309, 0.884, 0.269, 0.890, 0.615
0.83, 5.00, 0.267, 0.869, 0.299, 0.869, 0.259, 0.869, 0.617
0.83, 5.42, 0.258, 0.852, 0.289, 0.852, 0.250, 0.845, 0.618
0.83, 5.83, 0.250, 0.836, 0.280, 0.836, 0.242, 0.820, 0.617
0.83, 6.25, 0.243, 0.820, 0.272, 0.820, 0.235, 0.794, 0.616
0.83, 6.67, 0.236, 0.804, 0.264, 0.804, 0.229, 0.775, 0.615
0.83, 7.08, 0.231, 0.789, 0.258, 0.789, 0.223, 0.768, 0.613
0.83, 7.50, 0.225, 0.775, 0.251, 0.775, 0.218, 0.760, 0.610
0.83, 7.92, 0.221, 0.761, 0.246, 0.761, 0.214, 0.753, 0.608
0.83, 8.33, 0.216, 0.749, 0.241, 0.749, 0.210, 0.745, 0.605
1.25, 0.42, 0.938, 1.000, 0.940, 1.000, 0.937, 1.000, 0.516
1.25, 0.83, 0.777, 0.999, 0.783, 0.997, 0.775, 0.999, 0.523
1.25, 1.25, 0.651, 0.996, 0.675, 0.990, 0.644, 0.996, 0.561
