S_d, S_n, Mask Mean FA, AUC, Theta 1 Mask Mean, Theta 1 Mask Std, Phi 1 Mask Mean, Phi 1 Mask Std, Theta 2 Mask Mean, Theta 2 Mask Std, Phi 2 Mask Mean, Phi 2 Mask Std, npeaks, Mask Fraction
0.833333, 0.833333, 0.457712, 0.328970, 1.3889267444610596, 0.6641963124275208, 2.8523855209350586, 1.9722518920898438,1.2153279781341553, 0.7224178314208984, 2.9243073463439941, 1.9014086723327637,9.00, 0.1515866229508197
0.833333, 1.666667, 0.297814, 0.342419, 1.4108971357345581, 0.6641515493392944, 2.9465627670288086, 2.0707523822784424,0.9713919162750244, 0.7438560724258423, 2.9991436004638672, 1.8952037096023560,9.00, 0.1515866229508197
0.833333, 2.500000, 0.254888, 0.381092, 1.4572155475616455, 0.6471248865127563, 3.1170506477355957, 2.1964228153228760,0.6292119026184082, 0.6358994245529175, 2.9343867301940918, 1.9465239048004150,9.00, 0.1515866229508197
0.833333, 3.333333, 0.229212, 0.399885, 1.5061784982681274, 0.5983540415763855, 3.3403921127319336, 2.3086476325988770,0.4234692156314850, 0.5004465579986572, 2.7020509243011475, 2.0014812946319580,9.00, 0.1515866229508197
0.833333, 4.166667, 0.209231, 0.406008, 1.5392125844955444, 0.5268250107765198, 3.5711059570312500, 2.3484008312225342,0.3550442457199097, 0.4321161210536957, 2.4762330055236816, 2.0353186130523682,6.00, 0.1515866229508197
0.833333, 5.000000, 0.193385, 0.412511, 1.5622838735580444, 0.4673240482807159, 3.8034820556640625, 2.3599619865417480,0.3361318707466125, 0.3757613301277161, 2.2006783485412598, 2.0372159481048584,7.00, 0.1515866229508197
0.833333, 5.833333, 0.180823, 0.419812, 1.5715026855468750, 0.4236398339271545, 3.9934313297271729, 2.3400542736053467,0.3485638797283173, 0.3455847799777985, 1.8851786851882935, 1.9418860673904419,6.00, 0.1515866229508197
0.833333, 6.666667, 0.170585, 0.424577, 1.5792536735534668, 0.3853757381439209, 4.1194958686828613, 2.3327426910400391,0.3740228116512299, 0.3198055922985077, 1.6067118644714355, 1.7810987234115601,8.00, 0.1515866229508197
0.833333, 7.500000, 0.162044, 0.425630, 1.5811507701873779, 0.3548972308635712, 4.2336812019348145, 2.3339290618896484,0.4118059873580933, 0.3103482723236084, 1.4238975048065186, 1.6487131118774414,7.00, 0.1515866229508197
0.833333, 8.333333, 0.154845, 0.423109, 1.5840027332305908, 0.3329786062240601, 4.3514089584350586, 2.3351356983184814,0.4606977403163910, 0.3175622522830963, 1.2886919975280762, 1.5267645120620728,8.00, 0.1515866229508197
0.833333, 9.166667, 0.148784, 0.417742, 1.5794919729232788, 0.3177305757999420, 4.4135975837707520, 2.3638284206390381,0.5152547955513000, 0.3285628855228424, 1.1936931610107422, 1.4180663824081421,6.00, 0.1515866229508197
0.833333, 10.000000, 0.143726, 0.410763, 1.5677419900894165, 0.3088252246379852, 4.4573202133178711, 2.4146456718444824,0.5689773559570312, 0.3340024352073669, 1.1527178287506104, 1.3884851932525635,5.00, 0.1515866229508197
0.833333, 10.833333, 0.139539, 0.403254, 1.5473285913467407, 0.3049001693725586, 4.4593114852905273, 2.4704353809356689,0.6277814507484436, 0.3571173846721649, 1.1277318000793457, 1.3740035295486450,4.00, 0.1515866229508197
0.833333, 11.666667, 0.136105, 0.395942, 1.5192499160766602, 0.3032803535461426, 4.4270043373107910, 2.5412073135375977,0.6892223954200745, 0.3858396112918854, 1.1025383472442627, 1.3382774591445923,4.00, 0.1515866229508197
0.833333, 12.500000, 0.133324, 0.389192, 1.4850118160247803, 0.3001658916473389, 4.3307976722717285, 2.6373064517974854,0.7491953372955322, 0.4074419736862183, 1.0969548225402832, 1.3409951925277710,5.00, 0.1515866229508197
0.833333, 13.333333, 0.131096, 0.383087, 1.4512343406677246, 0.2965179979801178, 4.1623058319091797, 2.7389926910400391,0.8344706296920776, 0.4686927199363708, 1.1893986463546753, 1.4383320808410645,5.00, 0.1515866229508197
0.833333, 14.166667, 0.129329, 0.377630, 1.4152201414108276, 0.2950704097747803, 4.0041828155517578, 2.8152205944061279,0.9340065717697144, 0.5343589782714844, 1.3717124462127686, 1.5893226861953735,5.00, 0.1515866229508197
0.833333, 15.000000, 0.127945, 0.372853, 1.3780316114425659, 0.2947915792465210, 3.8474683761596680, 2.8675627708435059,0.9846565127372742, 0.5362322926521301, 1.4842224121093750, 1.6999281644821167,4.00, 0.1515866229508197
0.833333, 15.833333, 0.126868, 0.368714, 1.3452700376510620, 0.2962027788162231, 3.6834797859191895, 2.9087014198303223,0.9995874166488647, 0.5046350359916687, 1.5165429115295410, 1.7781435251235962,3.00, 0.1515866229508197
0.833333, 16.666667, 0.126030, 0.365211, 1.3213934898376465, 0.2990487217903137, 3.5198943614959717, 2.9389855861663818,1.0190185308456421, 0.4833089113235474, 1.5036292076110840, 1.8102378845214844,4.00, 0.1515866229508197
1.666667, 0.833333, 0.584746, 0.370585, 1.3470956087112427, 0.6969651579856873, 2.8550670146942139, 2.0501203536987305,1.0989691019058228, 0.7466338276863098, 3.0064451694488525, 1.9247114658355713,7.00, 0.1515866229508197
1.666667, 1.666667, 0.484996, 0.472492, 1.3967319726943970, 0.7095401883125305, 2.9281830787658691, 2.1351985931396484,0.7775263786315918, 0.7409073710441589, 3.0004823207855225, 1.9073336124420166,8.00, 0.1515866229508197
1.666667, 2.500000, 0.461564, 0.580920, 1.4586662054061890, 0.6854691505432129, 3.0956192016601562, 2.2406203746795654,0.4471050798892975, 0.5947340726852417, 2.9071123600006104, 1.9420038461685181,6.00, 0.1515866229508197
1.666667, 3.333333, 0.428891, 0.649534, 1.4930427074432373, 0.6321588158607483, 3.3853559494018555, 2.2563302516937256,0.3347265124320984, 0.4957273006439209, 2.6795251369476318, 1.9875260591506958,7.00, 0.1515866229508197
1.666667, 4.166667, 0.388451, 0.684610, 1.4987530708312988, 0.5950404405593872, 3.6182570457458496, 2.2003414630889893,0.2734531462192535, 0.3801715672016144, 2.4525241851806641, 1.9855138063430786,7.00, 0.1515866229508197
1.666667, 5.000000, 0.350367, 0.697230, 1.5055600404739380, 0.5709239840507507, 3.7825536727905273, 2.1452832221984863,0.2440484464168549, 0.2624848484992981, 2.2085247039794922, 1.9436025619506836,5.00, 0.1515866229508197
1.666667, 5.833333, 0.317837, 0.696507, 1.5275185108184814, 0.5521155595779419, 3.9409751892089844, 2.1200566291809082,0.2441908717155457, 0.1917141824960709, 1.9501053094863892, 1.8541980981826782,5.00, 0.1515866229508197
