S_d, S_n, Mask Mean FA, AUC, Theta Mask Mean, Theta Mask Std, Phi Mask Mean, Phi Mask Std, npeaks, Mask Fraction
0.833333, 0.833333, 0.454363, 0.313997, 1.4376115798950195, 0.6167539358139038, 2.8399515151977539, 1.9894945621490479,13.00, 0.2608524590163934
0.833333, 1.666667, 0.294691, 0.318263, 1.4904133081436157, 0.5630466938018799, 2.8794181346893311, 2.0966608524322510,13.00, 0.2608524590163934
0.833333, 2.500000, 0.258321, 0.359969, 1.5311527252197266, 0.4895038902759552, 2.9582617282867432, 2.2710893154144287,5.00, 0.2608524590163934
0.833333, 3.333333, 0.239611, 0.389901, 1.5494018793106079, 0.3905567228794098, 3.0879452228546143, 2.4801566600799561,3.00, 0.2608524590163934
0.833333, 4.166667, 0.222113, 0.396593, 1.5377757549285889, 0.2859958410263062, 3.2674829959869385, 2.6530327796936035,2.00, 0.2608524590163934
0.833333, 5.000000, 0.205542, 0.387627, 1.5215207338333130, 0.2308058142662048, 3.4088702201843262, 2.7175917625427246,1.00, 0.2608524590163934
0.833333, 5.833333, 0.191872, 0.378005, 1.5101541280746460, 0.2105554044246674, 3.4756691455841064, 2.7204010486602783,1.00, 0.2608524590163934
0.833333, 6.666667, 0.181945, 0.375026, 1.5004030466079712, 0.2029465436935425, 3.5223982334136963, 2.7038595676422119,1.00, 0.2608524590163934
0.833333, 7.500000, 0.175290, 0.377455, 1.4911708831787109, 0.2016030848026276, 3.5740017890930176, 2.6845157146453857,1.00, 0.2608524590163934
0.833333, 8.333333, 0.170892, 0.381811, 1.4782240390777588, 0.2021104693412781, 3.6280641555786133, 2.6902120113372803,1.00, 0.2608524590163934
0.833333, 9.166667, 0.167874, 0.385999, 1.4653183221817017, 0.2034862935543060, 3.6601266860961914, 2.7037405967712402,1.00, 0.2608524590163934
0.833333, 10.000000, 0.165682, 0.389255, 1.4481549263000488, 0.2025244981050491, 3.6648595333099365, 2.7352814674377441,1.00, 0.2608524590163934
0.833333, 10.833333, 0.164002, 0.391423, 1.4372836351394653, 0.2050301432609558, 3.6658854484558105, 2.7493062019348145,1.00, 0.2608524590163934
0.833333, 11.666667, 0.162664, 0.392716, 1.4280209541320801, 0.2084757983684540, 3.6689105033874512, 2.7543902397155762,1.00, 0.2608524590163934
0.833333, 12.500000, 0.161577, 0.393485, 1.4213970899581909, 0.2137502729892731, 3.6777853965759277, 2.7519526481628418,1.00, 0.2608524590163934
0.833333, 13.333333, 0.160681, 0.394080, 1.4175202846527100, 0.2209767848253250, 3.6700720787048340, 2.7445707321166992,1.00, 0.2608524590163934
0.833333, 14.166667, 0.159934, 0.394758, 1.4109258651733398, 0.2257872968912125, 3.6557040214538574, 2.7463655471801758,1.00, 0.2608524590163934
0.833333, 15.000000, 0.159312, 0.395671, 1.4057480096817017, 0.2298980355262756, 3.6238846778869629, 2.7497880458831787,1.00, 0.2608524590163934
0.833333, 15.833333, 0.158794, 0.396900, 1.4015251398086548, 0.2333029955625534, 3.5830221176147461, 2.7529518604278564,1.00, 0.2608524590163934
0.833333, 16.666667, 0.158363, 0.398545, 1.3977429866790771, 0.2360165864229202, 3.5431921482086182, 2.7557938098907471,1.00, 0.2608524590163934
1.666667, 0.833333, 0.565782, 0.337136, 1.3999774456024170, 0.6227478981018066, 2.8318293094635010, 2.0722093582153320,5.00, 0.2608524590163934
1.666667, 1.666667, 0.458991, 0.423305, 1.4531891345977783, 0.5707832574844360, 2.8637800216674805, 2.2124938964843750,3.00, 0.2608524590163934
1.666667, 2.500000, 0.445626, 0.528863, 1.5013157129287720, 0.4901288747787476, 2.9559640884399414, 2.4002180099487305,2.00, 0.2608524590163934
1.666667, 3.333333, 0.426456, 0.597771, 1.5257413387298584, 0.3820203542709351, 3.1052422523498535, 2.6009371280670166,2.00, 0.2608524590163934
1.666667, 4.166667, 0.393055, 0.624119, 1.5221029520034790, 0.3150241076946259, 3.2443077564239502, 2.7017230987548828,3.00, 0.2608524590163934
1.666667, 5.000000, 0.353679, 0.622412, 1.5151149034500122, 0.2807867825031281, 3.3227174282073975, 2.7143297195434570,3.00, 0.2608524590163934
1.666667, 5.833333, 0.317018, 0.608425, 1.5091346502304077, 0.2582545578479767, 3.3819272518157959, 2.7003927230834961,2.00, 0.2608524590163934
1.666667, 6.666667, 0.287148, 0.593114, 1.4995707273483276, 0.2483019977807999, 3.4275298118591309, 2.6729435920715332,3.00, 0.2608524590163934
1.666667, 7.500000, 0.264300, 0.580818, 1.4826798439025879, 0.2457152158021927, 3.5118765830993652, 2.6583516597747803,3.00, 0.2608524590163934
1.666667, 8.333333, 0.246994, 0.570072, 1.4640872478485107, 0.2491471469402313, 3.6049356460571289, 2.6580941677093506,3.00, 0.2608524590163934
1.666667, 9.166667, 0.233671, 0.558556, 1.4488352537155151, 0.2574365437030792, 3.6442410945892334, 2.6615927219390869,2.00, 0.2608524590163934
1.666667, 10.000000, 0.223211, 0.545510, 1.4362112283706665, 0.2690157294273376, 3.6462681293487549, 2.6657149791717529,1.00, 0.2608524590163934
1.666667, 10.833333, 0.214867, 0.531653, 1.4211651086807251, 0.2801280021667480, 3.6071498394012451, 2.6851012706756592,1.00, 0.2608524590163934
1.666667, 11.666667, 0.208145, 0.518103, 1.4077649116516113, 0.2919323444366455, 3.5633013248443604, 2.6945259571075439,1.00, 0.2608524590163934
1.666667, 12.500000, 0.202697, 0.505677, 1.3883241415023804, 0.2995336949825287, 3.4847154617309570, 2.7185146808624268,1.00, 0.2608524590163934
1.666667, 13.333333, 0.198250, 0.494731, 1.3723553419113159, 0.3080915808677673, 3.4079492092132568, 2.7300047874450684,1.00, 0.2608524590163934
1.666667, 14.166667, 0.194592, 0.485097, 1.3564136028289795, 0.3154452741146088, 3.3401014804840088, 2.7419595718383789,1.00, 0.2608524590163934
